fold,equation,material,file,sigma0,fraction,mlp_only,trf_cold,trf_warm,n_obs,n_train,n_test
LOO_012_KupferDigital_BAM_StressRelaxation_H_09_,guiu_pratt,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.001,2.4941322803497314,100.83920351288421,100.83960935166955,9,16,1
LOO_012_KupferDigital_BAM_StressRelaxation_H_09_,guiu_pratt,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.005,2.4941322803497314,22.435185911568322,22.43524721661977,44,16,1
LOO_012_KupferDigital_BAM_StressRelaxation_H_09_,guiu_pratt,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.01,2.4941322803497314,12.877052497816152,12.877164856573522,87,16,1
LOO_012_KupferDigital_BAM_StressRelaxation_H_09_,guiu_pratt,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.02,2.4941322803497314,6.727914954961916,6.727959522392283,173,16,1
LOO_012_KupferDigital_BAM_StressRelaxation_H_09_,guiu_pratt,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.05,2.4941322803497314,2.831235963369161,2.831248230734523,433,16,1
LOO_012_KupferDigital_BAM_StressRelaxation_H_09_,guiu_pratt,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.1,2.4941322803497314,2.8619298173016317,2.8619411871175364,865,16,1
LOO_012_KupferDigital_BAM_StressRelaxation_H_09_,guiu_pratt,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.2,2.4941322803497314,1.813198861286026,1.813193872065652,1730,16,1
LOO_012_KupferDigital_BAM_StressRelaxation_H_09_,guiu_pratt,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.4,2.4941322803497314,0.6804126484794459,0.7437838584386453,3460,16,1
LOO_012_KupferDigital_BAM_StressRelaxation_H_09_,thermal,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.001,1031.5892333984375,100.83903063273704,100.83888412511702,9,16,1
LOO_012_KupferDigital_BAM_StressRelaxation_H_09_,thermal,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.005,1031.5892333984375,22.43514755070155,22.43516945110589,44,16,1
LOO_012_KupferDigital_BAM_StressRelaxation_H_09_,thermal,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.01,1031.5892333984375,12.877052362073789,12.877052173480381,87,16,1
LOO_012_KupferDigital_BAM_StressRelaxation_H_09_,thermal,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.02,1031.5892333984375,6.727914570501906,6.72791437284664,173,16,1
LOO_012_KupferDigital_BAM_StressRelaxation_H_09_,thermal,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.05,1031.5892333984375,2.8312361303844638,2.8312359449139457,433,16,1
LOO_012_KupferDigital_BAM_StressRelaxation_H_09_,thermal,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.1,1031.5892333984375,2.8619299341647433,2.861930118575858,865,16,1
LOO_012_KupferDigital_BAM_StressRelaxation_H_09_,thermal,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.2,1031.5892333984375,1.8172024022720916,1.8269163097583174,1730,16,1
LOO_012_KupferDigital_BAM_StressRelaxation_H_09_,thermal,CuSn8Ni2,KupferDigital_BAM_StressRelaxation_H_09 ,163.1239962,0.4,1031.5892333984375,0.8389808807608102,0.8389808809782713,3460,16,1
