fold,equation,material,file,sigma0,fraction,mlp_only,trf_cold,trf_warm,n_obs,n_train,n_test
LOO_015_KupferDigital_BAM_StressRelaxation_I_14_,guiu_pratt,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.001,2.5661439895629883,1.3576770260278965,1.357675758128462,9,16,1
LOO_015_KupferDigital_BAM_StressRelaxation_I_14_,guiu_pratt,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.005,2.5661439895629883,2.3209567977921925,2.320952779969661,44,16,1
LOO_015_KupferDigital_BAM_StressRelaxation_I_14_,guiu_pratt,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.01,2.5661439895629883,1.798615743528741,1.7986072206539798,87,16,1
LOO_015_KupferDigital_BAM_StressRelaxation_I_14_,guiu_pratt,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.02,2.5661439895629883,1.4061078621201162,1.4061052642132252,173,16,1
LOO_015_KupferDigital_BAM_StressRelaxation_I_14_,guiu_pratt,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.05,2.5661439895629883,1.5516716043962826,1.5516758615867914,433,16,1
LOO_015_KupferDigital_BAM_StressRelaxation_I_14_,guiu_pratt,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.1,2.5661439895629883,2.881023604730484,2.8810222912335037,865,16,1
LOO_015_KupferDigital_BAM_StressRelaxation_I_14_,guiu_pratt,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.2,2.5661439895629883,4.566081267971624,4.566104269135913,1730,16,1
LOO_015_KupferDigital_BAM_StressRelaxation_I_14_,guiu_pratt,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.4,2.5661439895629883,3.732626326497869,3.73263354849174,3460,16,1
LOO_015_KupferDigital_BAM_StressRelaxation_I_14_,thermal,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.001,1472.4530029296875,1.3576770574076424,1.3576770288921012,9,16,1
LOO_015_KupferDigital_BAM_StressRelaxation_I_14_,thermal,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.005,1472.4530029296875,2.320956855437006,2.320955489037889,44,16,1
LOO_015_KupferDigital_BAM_StressRelaxation_I_14_,thermal,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.01,1472.4530029296875,1.7986157966318026,1.7986155888703206,87,16,1
LOO_015_KupferDigital_BAM_StressRelaxation_I_14_,thermal,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.02,1472.4530029296875,1.4061078711380308,1.4061079021085379,173,16,1
LOO_015_KupferDigital_BAM_StressRelaxation_I_14_,thermal,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.05,1472.4530029296875,1.5516716774104065,1.5516716061006226,433,16,1
LOO_015_KupferDigital_BAM_StressRelaxation_I_14_,thermal,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.1,1472.4530029296875,2.8810102092104115,2.8810658382747145,865,16,1
LOO_015_KupferDigital_BAM_StressRelaxation_I_14_,thermal,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.2,1472.4530029296875,4.566072274370306,4.566068904312374,1730,16,1
LOO_015_KupferDigital_BAM_StressRelaxation_I_14_,thermal,"CuZn23Si2,5",KupferDigital_BAM_StressRelaxation_I_14 ,157.6948818,0.4,1472.4530029296875,3.7326197847516465,3.7326172891414364,3460,16,1
